time,river_level (m)
2022-10-18 03:24:10+00:00,1.305
2022-10-18 04:24:06+00:00,1.305
2022-10-18 05:24:08+00:00,1.305
2022-10-18 06:24:07+00:00,1.305
2022-10-18 07:24:07+00:00,1.305
2022-10-18 08:24:21+00:00,1.305
2022-10-27 07:26:26+00:00,1.305
2022-10-27 08:26:26+00:00,1.305
2022-10-27 10:26:23+00:00,1.305
2022-10-27 11:26:23+00:00,1.305
2022-10-27 12:26:26+00:00,1.305
2022-10-27 13:26:25+00:00,1.305
2022-10-27 14:26:25+00:00,1.305
2022-10-27 15:26:25+00:00,1.305
2022-10-27 16:26:27+00:00,1.305
2022-10-27 17:26:26+00:00,1.305
2022-10-27 18:26:26+00:00,1.305
2022-10-27 19:26:26+00:00,1.305
2022-10-27 20:26:24+00:00,1.305
2022-10-27 21:26:28+00:00,1.305
2022-10-27 22:26:27+00:00,1.305
2022-10-27 23:26:28+00:00,1.305
2022-10-28 00:26:26+00:00,1.305
2022-10-28 01:26:26+00:00,1.305
2022-10-28 02:26:29+00:00,1.305
2022-10-28 03:26:26+00:00,1.305
2022-10-28 04:26:27+00:00,1.305
2022-10-28 05:26:29+00:00,1.305
2022-10-28 06:26:26+00:00,1.305
2022-10-28 07:26:25+00:00,1.305
2022-10-28 08:26:26+00:00,1.305
2022-10-28 09:26:28+00:00,1.305
2022-10-28 10:26:28+00:00,1.305
2022-10-28 11:26:32+00:00,1.305
2022-10-28 12:26:30+00:00,1.305
2022-10-28 13:26:27+00:00,1.305
2022-10-28 14:26:29+00:00,1.305
2022-10-28 15:26:26+00:00,1.305
2022-10-28 16:26:27+00:00,1.305
2022-10-28 17:26:31+00:00,1.305
2022-10-28 18:26:29+00:00,1.305
2022-10-28 19:26:28+00:00,1.305
2022-10-28 20:26:27+00:00,1.305
2022-10-28 21:26:28+00:00,1.305
2022-10-28 22:26:28+00:00,1.305
2022-10-28 23:26:30+00:00,1.305
2022-10-29 00:26:26+00:00,1.305
2022-10-29 01:26:30+00:00,1.305
2022-10-29 02:26:30+00:00,1.305
2022-10-29 03:26:28+00:00,1.305
2022-10-29 04:26:29+00:00,1.305
2022-10-29 05:26:31+00:00,1.305
2022-10-29 06:26:28+00:00,1.305
2022-10-29 07:26:28+00:00,1.305
2022-10-29 08:26:26+00:00,1.305
2022-10-29 09:26:30+00:00,1.305
2022-10-29 10:26:28+00:00,1.305
2022-10-29 11:26:30+00:00,1.305
2022-10-29 12:26:30+00:00,1.305
2022-10-29 13:26:29+00:00,1.305
2022-10-29 14:26:29+00:00,1.305
2022-10-29 15:26:32+00:00,1.305
2022-10-29 16:26:28+00:00,1.305
2022-10-29 17:26:29+00:00,1.305
2022-10-29 18:26:32+00:00,1.305
2022-10-29 19:26:29+00:00,1.305
2022-10-29 20:26:28+00:00,1.305
2022-10-29 21:26:31+00:00,1.305
2022-10-29 22:26:33+00:00,1.305
2022-10-29 23:26:31+00:00,1.305
2022-10-30 00:26:32+00:00,1.305
2022-10-30 01:26:32+00:00,1.305
2022-10-30 02:26:30+00:00,1.305
2022-10-30 03:26:36+00:00,1.305
2022-10-30 04:26:31+00:00,1.305
2022-10-30 05:26:32+00:00,1.305
2022-10-30 06:26:31+00:00,1.305
2022-10-30 07:26:33+00:00,1.305
2022-10-30 08:26:32+00:00,1.305
2022-10-30 09:26:33+00:00,1.305
2022-10-30 10:26:34+00:00,1.305
